location,name,gu,위도,경도
서울특별시 송파구 올림픽로 240,롯데백화점 잠실점,송파구,37.5112348,127.0980274
서울특별시 영등포구 경인로 846,롯데백화점 영등포점,영등포구,37.5154709,126.9066823
서울특별시 노원구 동일로 1414,롯데백화점 노원점,노원구,37.6552101,127.0611517
서울특별시 강남구 도곡로 401,롯데백화점 강남점,강남구,37.4969255,127.0532731
서울특별시 광진구 능동로 92,롯데백화점 스타시티점,광진구,37.5387765,127.0710831
서울특별시 중구 을지로 30,롯데백화점 본점,중구,37.5649903,126.981369
서울특별시 동대문구 왕산로 214,롯데백화점 청량리점,동대문구,37.5792928,127.0479007
서울특별시 관악구 봉천로 209,롯데백화점 관악점,관악구,37.4905756,126.9249911
서울특별시 강북구 도봉로 62,롯데백화점 미아점,강북구,37.6145502,127.0305098
서울특별시 송파구 올림픽로 300,롯데백화점 에비뉴엘 월드타워점,송파구,37.5213517,127.1026097
서울특별시 중구 남대문로 67,롯데백화점영플라자명동점,중구,37.5634661,126.9815063
서울특별시 강서구 하늘길 77,롯데백화점 김포공항점,강서구,37.5667733,126.8025118
서울특별시 구로구 경인로,현대백화점 디큐브시티점,구로구,37.4984887,126.8601539
서울특별시 강남구 테헤란로 517,현대백화점 무역센터점,강남구,37.5086154,127.0597808
서울특별시 강동구 천호대로 1005,현대백화점 천호점,강동구,37.5388007,127.1243716
서울특별시 서대문구 연세로 13,현대백화점 유플렉스 신촌점,서대문구,37.5592017,126.9357744
서울특별시 양천구 목동동로 257,현대백화점 목동점,양천구,37.5268253,126.8749782
서울특별시 서대문구 신촌로 83,현대백화점 신촌점,서대문구,37.5560736,126.9357977
서울특별시 강남구 압구정로 165,현대백화점 압구정본점,강남구,37.5273268,127.0274265
서울특별시 성북구 동소문로 315,현대백화점 미아점,성북구,37.6083223,127.0287626
서울특별시 양천구 목동동로 257,현대백화점 유플렉스목동점,양천구,37.5268253,126.8749782
서울특별시 강남구 영동대로 513,현대백화점유플렉스무역센터점,강남구,37.5101935,127.0585824
서울특별시 중구 소공로 63,신세계백화점 본점,중구,37.5609008,126.9809889
서울특별시 영등포구 영중로 9,신세계백화점 영등포점,영등포구,37.5171482,126.9055629
서울특별시 서초구 신반포로 176,신세계백화점 강남점,서초구,37.5041299,127.0030692
